country,year,debt_to_gdp,gdp_growth,inflation,unemployment
ARG,2018,,-2.61739646282038,34.2772237131003,9.22
ARG,2019,,-2.00086100285785,53.5483043492339,9.843
ARG,2020,,-9.9004848136464,42.0150947376509,11.461
ARG,2021,,10.4418119882506,48.4093786255199,8.736
ARG,2022,,6.02074537534855,72.430757531824,6.805
ARG,2023,,-1.85578803046339,133.488935594175,6.139
ARG,2024,,-1.34293072157739,219.883929014578,7.15
BRA,2015,67.5375540310909,-3.54576339269425,9.02990102416136,8.538
BRA,2016,73.4188038014782,-3.27591690782192,8.73914352329393,11.58
BRA,2017,83.669202649666,1.32286905404399,3.44637335032669,12.792
BRA,2018,86.6078841211512,1.783666761634,3.66485028376729,12.329
BRA,2019,92.5652531945418,1.22077782360842,3.73297621216894,11.936
BRA,2020,98.7098819468714,-3.2767587964736,3.21176803803376,13.697
BRA,2021,85.0115036768016,4.76260437908608,8.30165975585673,13.158
BRA,2022,79.1023218878495,3.01669435393015,9.28010608956873,9.231
BRA,2023,83.0317498523878,3.24165532906981,4.59356282283204,7.947
BRA,2024,81.8554431191023,3.41931516501906,4.36746407652337,6.801
CHN,2015,,6.98162255562367,1.43702380935655,4.65
CHN,2016,,6.7736886867727,2.00000182191943,4.56
CHN,2017,,6.89123916636191,1.59313600071436,4.47
CHN,2018,,6.757806142324,2.07479039965576,4.31
CHN,2019,,6.06737806333672,2.89923416358227,4.56
CHN,2020,,2.33950385203023,2.41942189457782,5.0
CHN,2021,,8.57038414981781,0.981015135544882,4.55
CHN,2022,,3.13385438394069,1.97357555739051,4.98
CHN,2023,,5.41600334492955,0.234836828893051,4.67
CHN,2024,,4.95830378788091,0.218128938439177,4.59
GBR,2015,147.063146778865,2.14040560033371,0.36804684232536,5.552
GBR,2016,155.581504971929,2.20652020635357,1.0084173681141,4.909
GBR,2017,160.141177233502,3.02322219840339,2.55775577557747,4.501
GBR,2018,156.766820519267,1.55133095078786,2.29283990345938,4.145
GBR,2019,158.972569875821,1.25629899760824,1.73810460086513,3.657
GBR,2020,194.682828796265,-10.047896637362,0.989486703772491,4.472
GBR,2021,183.804848939919,8.5431118453255,2.51837109614213,4.864
GBR,2022,138.215904304967,5.14970388522993,7.92204883147902,3.768
GBR,2023,136.142431919028,0.271650048355255,6.79396706793963,4.025
GBR,2024,130.735888365813,1.08027716858781,3.2715729463592,4.361
IND,2015,49.9647183856551,7.99625378567987,4.90697344127249,7.629
IND,2016,47.6337555915272,8.25630550176662,4.94821634062134,7.611
IND,2017,47.5836093800197,6.79538341902422,3.32817337461305,7.626
IND,2018,46.5224986659322,6.45385134495295,3.93882646691643,7.652
IND,2019,,3.87143694070524,3.72950573539123,6.51
IND,2020,,-5.77772470687303,6.6234367762853,7.859
IND,2021,,9.68959249191741,5.13140747176364,6.38
IND,2022,,7.6093649776932,6.69903414079858,4.822
IND,2023,,7.210224629335,5.64914318907925,4.172
IND,2024,,7.09927893176518,4.95303550973661,4.173
NGA,2015,,2.65269329541779,9.00943498007706,4.134
NGA,2016,,-1.61686894903467,15.6968126387972,4.499
NGA,2017,,0.805886619091581,16.5022662139641,4.83
NGA,2018,,1.92275734199798,12.0951065173432,5.069
NGA,2019,,2.20842927835211,11.3964223378115,5.206
NGA,2020,,-6.36889840468527,13.2460234276598,5.714
NGA,2021,,1.109252540249,16.9528457221608,5.404
NGA,2022,,4.31882949157136,18.8471877843274,3.827
NGA,2023,,3.31590368111438,24.659550203114,3.074
NGA,2024,,4.07106650147703,33.2416590552749,3.045
PAK,2015,,4.21794209572506,2.52932817254229,3.566
PAK,2016,,6.57383828511043,3.7651191635658,2.285
PAK,2017,,4.43262590683975,4.08537368032608,3.204
PAK,2018,,6.15170261099519,5.07805725868917,4.083
PAK,2019,,2.49763692943365,10.5780305672025,4.83
PAK,2020,,-1.27408744338709,9.74011619320125,5.994
PAK,2021,,6.51388575852702,9.49641577285205,6.338
PAK,2022,,4.7781068690358,19.8738599646655,5.291
PAK,2023,,-0.414935997088406,30.7681280657005,5.237
PAK,2024,,3.08176295579301,12.6325318530452,5.492
