country,gdp_growth,inflation,debt_to_gdp,unemployment,risk_score,risk_level
ZAF,0.5348435319,4.3611524652,82.7627080034,32.279,52.3,Moderate Risk
GBR,1.0802771686,3.2715729464,130.7358883658,4.361,45.6,Moderate Risk
USA,2.7931871536,2.9495252049,115.7683526183,4.022,36.9,Moderate Risk
BRA,3.419315165,4.3674640765,81.8554431191,6.801,27.8,Low Risk
TUR,3.3276230894,58.50645073,26.619234493,8.8,20.8,Low Risk
IND,7.0992789318,4.9530355097,46.5224986659,4.173,7.2,Low Risk
ARG,-1.3429307216,219.8839290146,,7.15,,Insufficient Data
CHN,4.9583037879,0.2181289384,,4.59,,Insufficient Data
NGA,4.0710665015,33.2416590553,,3.045,,Insufficient Data
PAK,3.0817629558,12.632531853,,5.492,,Insufficient Data
